ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу,Дата добавления,Видео,Исходники,ГитХаб,Демопати,Компо,Место
4000100,200%,reddie,Otomata Labs,2025,БК0011М,demo,november 2025,,,,"Порт спектрумовской программы ""200%"" авторства Otomata Labs. - БК-0011М с родной частотой проца (4МГц) - контроллер SMK-512 (доп. ОЗУ, дисковод/готек) - 2xAY (поддержаны TurboSound, GryphonSound) - желателен видеовывод с родной кадровой частотой (в эмуляторе поставить рефреш монитора 49/98/147 Гц, если монитор поддерживает такие частоты обновления) Текущая версия работает только с дисковода/готека, либо образа дискеты, вмонтированного в образ CF. Образ загрузочный, не содержит никаких ДОСов. Демка является хорошим стресс-тестом режимов SMK512, проверялась на нескольких экземплярах БК0011М, но может не заработать на конкретно вашей машине (в эмуляторе от gid работает, но некорректно завершает работу: по клавише СТОП должна следовать загрузка с образа на CF-карте, а вместо этого вываливается в монитор. На реальном БК по СТОП грузится с CF) Удержание любой клавиши во время загрузки вызывает дополнительную информацию об авторах. Удачи!",200PERCENT.ZIP,,,,,,,,,,photo_2026-02-18_02-43-05.jpg,,,,,,,,,,,,,18.02.26,https://youtu.be/YevwikPwSDM ,,,,,
3000101,let's party!,reddie,,2025,БК0010 (11М),256b,july 2025,,,,,let_s_party_.zip,,,,,,,,,,00104462.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104462,17.02.26,https://youtu.be/Tp6mieHctZw,В архиве,,DiHALT Summer 2025,combined 256b,5
3000100,Spline Bubbles,Насыров Дамир (Damir Nasyroff/Adam Bazaroff),Excess Team,2025,БК0010 (11М),128b,july 2025,,,,,spline_bubbles.zip,,,,,,,,,,00104515.jpg,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104515,17.02.26,https://youtu.be/HPRySHN_uhk,В архиве,,DiHALT Summer 2025,combined 256b,3
3000106,azBKmiga!,Насыров Дамир (Damir Nasyroff/Adam Bazaroff),Excess Team,2025,БК0010 (11М),256b,may 2025,,,,,azbkmiga_.zip,,,,,,,,,,00104122.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104122,17.02.26,https://www.youtube.com/watch?v=TIKQGJf4Dtc,В архиве,,Multimatograf 2025,combined 256b,3
3000105,bad tape,reddie,,2025,БК0010 (11М),256b,may 2025,,,,,bad_tape.zip,,,,,,,,,,00104127.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104127,17.02.26,https://www.youtube.com/watch?v=9nggOm28ZWc,В архиве,,Multimatograf 2025,oldskool 256b,5
3000102,BK3D.ENGINE,Dmitry Apraksin,Dmitry Apraksin,2025,БК0010 (11М),game,may 2025,,,,,bk3d.engine.zip,,,,,,,,,,00104167.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104167,17.02.26,https://www.youtube.com/watch?v=T_s90V4yfp0,В архиве,,Multimatograf 2025,wild demo,1
3000103,Endless,Александр Тишин (Sandro),,2025,БК0010 (11М),256b,may 2025,,,,,endless.zip,,,,,,,,,,00104163.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104163,17.02.26,,В архиве,,Multimatograf 2025,oldskool 256b,2
3000107,Organism,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,2025,БК0010 (11М),256b,may 2025,,,,,organism_by_KUVO.zip,,,,,,,,,,00104108.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104108,17.02.26,https://youtu.be/MbrjYnaTlek?si=2GuHPjKV6Nt38BaR,В архиве,,Multimatograf 2025,oldskool 256b,1
3000104,overclocked,reddie,,2025,БК0010 (11М),256b,may 2025,,,,,overclocked.zip,,,,,,,,,,00104130.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104130,17.02.26,https://www.youtube.com/watch?v=C4El2cycHGA,В архиве,,Multimatograf 2025,oldskool 256b,4
3000109,Bit tired,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,2025,БК0010 (11М),demo,january 2025,,,,,bittired_by_CSI.zip,,,,,,,,,,00102948.jpg,,,,,,,,,,,,https://www.pouet.net/prod.php?which=102948,17.02.26,https://www.youtube.com/watch?v=NOeGDYrougs,В архиве,,DiHALT Winter 2025,lowend demo,1
3000108,HNY 2025!,"Насыров Дамир (Damir Nasyroff/Adam Bazaroff), n1k-o","Excess Team, Stardust",2025,БК0010 (11М),demo,january 2025,,,,,hny25.zip,,,,,,,,,,00102970.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=102970,17.02.26,https://www.youtube.com/watch?v=UQS8Bt8B6Yo,,,DiHALT Winter 2025,lowend demo,2
3000110,BK3D.Arena,Dmitry Apraksin,Dmitry Apraksin,2024,БК0010 (11М),game,august 2024,,,,,bk3d.arena.zip,,,,,,,,,,00097644.jpg,,,,,,,,,,,,https://www.pouet.net/prod.php?which=97644,17.02.26,https://www.youtube.com/watch?v=J_QhI2RmWzg,,,Chaos Constructions 2024,gamedev,1
3000111,Flight 256,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,2024,БК0010 (11М),256b,july 2024,,,,,flight_256_by_KUVO.zip,,,,,,,,,,00097402.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=97402,17.02.26,https://www.youtube.com/watch?v=yC4BmZlJEH8,В архиве,,DiHALT Summer 2024,oldskool 256b,1
3000112,Babylona,"purplesyringa, Мачуговский А. (Manwe/SandS), Made","SandS, Bomb",2024,БК0010 (11М),16k,may 2024,,,,,sands-and-bomb-babylona.zip,,,,,,,,,,00104947.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=104947,17.02.26,,Ссылка,https://github.com/Manwe-SandS/Babylona,,,
3000115,AR1,Dmitry Apraksin,Dmitry Apraksin,2024,БК0010 (11М),4k,april 2024,,,,,ar1.zip,,,,,,,,,,00096910.jpg,,,,,,,,,,,,https://www.pouet.net/prod.php?which=96910,17.02.26,https://www.youtube.com/watch?v=9NHngXWsVIg,,,Multimatograf 2024,combined 4k,1
3000114,FLAT COLORS,"Насыров Дамир (Damir Nasyroff/Adam Bazaroff), dimidus, Grongy, Владимир Кутяков (KUVO)",Excess Team,2024,БК0010 (11М),demo,april 2024,,,,,flat_colors.zip,,,,,,,,,,00096912.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=96912,17.02.26,https://www.youtube.com/watch?v=noZUrjuKWEQ,,,Multimatograf 2024,oldskool demo,2
3000113,Floor,Александр Тишин (Sandro),,2024,БК0011М,16k,april 2024,,,,Real-time Floor: texturing on BK-0011M,floor.zip,,,,,,,,,,00096917.jpg,,,,,,,,,,,,https://www.pouet.net/prod.php?which=96917,17.02.26,https://www.youtube.com/watch?v=H6TtlyPDAj0,,,Multimatograf 2024,oldskool demo,4
3000116,Siiight,Владимир Кутяков (KUVO),CAROLINE SOFTWARE,2024,БК0010 (11М),procedural graphics,april 2024,,,,,SIIIGHT_by_CSI.zip,,,,,,,,,,00096894.png,,,,,,,,,,,,https://www.pouet.net/prod.php?which=96894,17.02.26,https://youtu.be/-ygByncVtqU,В архиве,,Multimatograf 2024,wild demo,2
