ID,Ссылка на страницу с игрой,Название игры,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание игры,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12
31741,https://r-games.net/31741-15.html,15,JMP club,JMP club,,БК0010,Логическая,,,,,Ваша цель - разложить фишки в порядке возрастания номеров от 1 до 15.,FIFTINd348.zip,,,,,,,,,,1372939690_1.png,1372939677_2.png,1372939729_3.png,,,,,,,,,
65,https://r-games.net/65-15.html,15,"Какабадзе Т.М., Пухашвили Г.Ш.",ORION corp.,1992,БК0010,Логическая,1992,,,,Ваша цель - разложить фишки в порядке возрастания номеров от 1 до 15.,158432.zip,,,,,,,,,,1396612139_r-games.net_1.png,1396612146_r-games.net_2.png,1396612206_r-games.net_3.png,1396612182_r-games.net_4.png,,,,,,,,
20669,https://r-games.net/20669-1993-s-novym-godom.html,1993 (С НОВЫМ ГОДОМ!),ТОАДЕР,,1993,БК0010,Аркада,1993,,,Русский,Дед мороз должен успеть донести подарки с полюса детям в Москву,new-year2ff2.zip,,,,,,,,,,1303392975_1.jpg,1303392899_2.jpg,1303392892_3.jpg,,,,,,,,,
20844,https://r-games.net/20844-csi-1996.html,1996,Кутяков Владимир,CAROLINE SOFTWARE,1996,БК0011М,Демо,1996,,,,Новогоднее поздравление в виде демки от CAROLINE SOFTWARE.,csi-1996e9ad.zip,,,,,,,,,,1317213423_1.jpg,,,,,,,,,,,
20771,https://r-games.net/20771-22-love-lyubovnye-pozicii.html,22 LOVE (ЛЮБОВНЫЕ ПОЗИЦИИ),MMM&CHS,MMM&CHS,1993,БК0010,Эротическая,1993,,,,"22 любовных позиции. СТРОГО 18+ Данная программа является полным аналогом программы ""22LOVE"" с компьютера ZX SPECTRUM и представляет собой учебник для женатых и незамужних пар, желающих, чтобы их сексуальная жизнь была полной, богатой и счастливой. ",22love.zip,,,,,,,,,,1310378393_1.jpg,1310378359_2.jpg,1310378349_3.jpg,,,,,,,,,
67,https://r-games.net/67-3-dinamicheskie-igry.html,3 ДИНАМИЧЕСКИЕ ИГРЫ,Коноплев П.,,,БК0010,Спортивная,,,,,"3 Динамические игры является аналогом широко распространенной телевизионной игры ВИДЕОСПОРТ. HYPER SPORTS состоит из 3-х игр: игры в футбол, игры в теннис и игры в сквош.",game_s570b.zip,,,,,,,,,,1396611752_r-games.net_1.png,1396611759_r-games.net_2.png,1396611809_r-games.net_3.png,1396611770_r-games.net_4.png,,,,,,,,
626,https://r-games.net/626-academy.html,ACADEMY,Дженгуров Г.В.,АКТ,,БК0010,Лабиринт,,,,Английский,"Преодолевая препятствия,добратся до рубильника,включающего лифт и поднятся на следующий этаж.",academy5b49.zip,,,,,,,,,,1340783416_1.jpg,1297246517_2.jpg,1297246526_1.jpg,,,,,,,,,
20839,https://r-games.net/20839-adventure-at-cemetery.html,ADVENTURE AT CEMETERY,"MEGA BEST SOFTWARE, GLOSSA SOFTWARE, ALFA SOFT",,1995,БК0011М,Стрелялка,1995,,,,"Игра для светового пистолета. Попробуйте отстрелять всю нечесть на кладбище, вылезающую из могил. Чтобы насладится всеми прелестями игры, запускать её лучше в ЭМУЛЯТОРе 3000, т.к. он поддерживает эмуляцию светового пистолета.",cemeteryb73d.zip,,,,,,,,,,1316771673_1.jpg,1316771643_2.jpg,1316771624_3.jpg,1316771658_4.jpg,,,,,,,,
94,https://r-games.net/94-advert.html,ADVERT,Тюрев Дмитрий,TD corp.,,БК0010,Демо,,,,,В данной демке происходит оригинальная трансформация Двуглавого Орла в надпись TD corp.,advert24ea8.zip,,,,,,,,,,1396267719_r-games.net_1.png,1396267739_r-games.net_2.png,,,,,,,,,,
95,https://r-games.net/95-advert-reklama.html,ADVERT (РЕКЛАМА),Тюрев Дмитрий,TD corp. & IMS corp.,,БК0010,Реклама,,,,,Информационно-рекламная программка.,advertfd76.zip,,,,,,,,,,1396267247_r-games.net_1.png,,,,,,,,,,,
97,https://r-games.net/97-advert-3-reklama-bk0011m.html,ADVERT 3 (РЕКЛАМА) (БК0011М),Тюрев Дмитрий,Magic Bytes Software,1995,БК0011М,Реклама,1995.02.09,,,,"Реклама фирмы Magic BYTES SOFTWARE, а также реклама игры Monkey Island. Наберите на клавиатуре слово DEMO и Вы окажетесь в 3D комнате",advert3new2012.zip,,,,,,,,,,1396262778_r-games.net_1.png,1396262841_r-games.net_2.png,1396262760_r-games.net_3.png,1396262815_r-games.net_4.png,,,,,,,,
20845,https://r-games.net/20845-csi-adverticement.html,ADVERTICEMENT,Кутяков Владимир,CAROLINE SOFTWARE,1995,БК0011М,Демо,1995,,,,Служба рекламы и информации от CAROLINE SOFTWARE,csi-adverte297.zip,,,,,,,,,,1317213935_1.jpg,,,,,,,,,,,
308,https://r-games.net/308-africa.html,AFRICA,Романтовский Д.А.,RDA corp.,1994,БК0010,Аркада,1994,,,,"Добро пожаловать в Африку, страну, полную опасностей и неожиданностей, где Вас ждут самые незабываемые приключения.",afrikabk97dc.7z,,africaf371.zip,,,,,,,,1484725028_1.png,1484725008_2.png,1484725069_3.png,1484725049_4.png,1484725086_5.png,1484725028_6.png,1484725006_7.png,,,,,
98,https://r-games.net/98-africa-demo.html,AFRICA (ДЕМО),Романтовский Д.А.,RDA corp.,1994,БК0010,Демо,1994,,,,Демонстрационная версия игры AFRICA.,africa11e9.zip,,,,,,,,,,1396261571_r-games.net_1.png,1396261533_r-games.net_2.png,1396261607_r-games.net_3.png,1396261597_r-games.net_4.png,1396261518_r-games.net_5.png,,,,,,,
210,https://r-games.net/210-air-attack.html,AIR ATTACK,,,,БК0010,Леталка-Стрелялка,,,,,"Ваша задача перелететь на реактивном самолете вражескую зону, уничтожая технику противника.",air_attack510a.zip,,,,,,,,,,1395397182_r-games.net_1.png,1395397183_r-games.net_2.png,1395397189_r-games.net_3.png,,,,,,,,,
